TSI GBR FIN YRI geneid
0.897369275567251 0.72873204609358 0.744174499882563 2.93544482124822 ENSG00000237683
1.25297663926857 0.0172005839425674 0.0396919262016824 0.930417187809153 ENSG00000188976
0 0.0386099773756668 0.339778288340354 2.14388419077833 ENSG00000187961
0.0858158504061458 0.0470297416301023 1.79251808152757 0.187287677557892 ENSG00000187583
0.339900779247192 0 0.291738505706013 0 ENSG00000187642
0.277605335233384 1.24826200152658 0.459647212596651 1.62972575184248 ENSG00000188290
0.324202366029369 0.264604583587325 2.40033085057466 0.460782885902725 ENSG00000187608
0 0.685881895104659 1.08074665274795 0 ENSG00000188157
0.231325161315424 0 0 0.132855978614206 ENSG00000131591
0.397340846847287 0.592562550071325 3.59277183373616 0.177276433098666 ENSG00000186891
0 0.00742658516811529 0.797735781459406 0.339285715254778 ENSG00000186827
0.02527567322746 1.3628290145501 0.517853999503218 0 ENSG00000078808
0 0.085556636085209 0.0902267007555044 0 ENSG00000176022
0.234670506760951 0.168568465798192 1.40020674708455 1.63371122788423 ENSG00000184163
0.992665194166401 0.525659633049356 0.0821731139680642 0.0247322237272099 ENSG00000160087
0.358523946919235 1.21814150318373 0.21626829733054 1.91328013257077 ENSG00000162572
0 0.189001166014621 0.132506371275432 0.744784222602731 ENSG00000131584
0.912225193182152 0.872330396359239 0.19976507459312 0.104417793489846 ENSG00000169972
0.324774745348842 0.110846521494993 0.00893204280014175 0 ENSG00000127054
0.15247465066077 0.167697637015852 0.0271553953683441 0.00843969253006102 ENSG00000224051
1.37428870638318 0.378087451185393 0.226381631702731 0.178615319380717 ENSG00000169962
0.0935322332004655 0.0373888172479224 0.0068159521459184 0.0275918835340271 ENSG00000107404
0.239548953097 0.135333891106056 1.27289604971791 0.159959257898042 ENSG00000162576
1.5749961105349 0.0353146106546485 0.127056595849257 0.546890466982486 ENSG00000175756
0 1.25434258312715 0 0.441001696483949 ENSG00000221978
0.33187908243394 0.477775003653065 2.06401118068734 0.284241630754702 ENSG00000224870
1.6900628935817 0.00121171949466869 0 0.495630835617334 ENSG00000242485
1.21175768065728 1.64997907556241 1.15531437291147 1.46542244722647 ENSG00000235098
0 1.04851344151807 1.16099748015925 0 ENSG00000179403
1.90077575410356 0.324391286173982 0.461177720919624 0.639262190070687 ENSG00000215915
1.39016912286719 0.140483535903281 0.316322026401186 2.28713729358189 ENSG00000160072
0.886311553592545 0.388080875232567 0.384288641944975 2.4973018197177 ENSG00000197785
1.53453335443666 0.544634535679496 0.107639144498514 0.0623570453008649 ENSG00000160075
0.378527255074723 0.541508134711636 0.0945103620026947 2.88749491257964 ENSG00000215014
