FIN_GBR FIN_TSI FIN_YRI GBR_TSI GBR_YRI TSI_YRI
ENSG00000237683 0.063265240300357 0.788192772767265 0.974767421483391 0.803305068514795 0.971976499447409 0.911545117711794
ENSG00000188976 0.0261593775333834 0.760101377843821 0.620958322910754 0.719218143693491 0.66124835775473 0.883865809013584
ENSG00000187961 0.750079037685422 0.723596955742913 0.916562921252439 0.0269230757697332 0.956714124117722 0.956751323647418
ENSG00000187583 0.799263736347582 0.852765296630542 0.86190394138937 0.124399718672143 0.237925402527742 0.0385560965935938
ENSG00000187642 0.782513727787198 0.839766432889381 0.19521371001595 0.282007775696076 0.672517027821725 0.778609256655631
ENSG00000188290 0.942813176969952 0.806276059628585 0.876235283629625 0.78256761204556 0.97722419126376 0.953152313227105
ENSG00000187608 0.939662504998234 0.88582179458203 0.942794986536696 0.445010980222831 0.157051233965231 0.604597631688443
ENSG00000188157 0.908778577604121 0.819630725757706 0.630726309721785 0.446805423444165 0.734778833241115 0.362034520134803
ENSG00000131591 0.335131303615013 0.540168873031893 0.0754626704285381 0.101746359259543 0.455995932854847 0.613554077257077
ENSG00000186891 0.981646124555231 0.970671556510378 0.976949049336054 0.628387411790768 0.265763260412103 0.321042962769798
ENSG00000186827 0.488128114901652 0.504675328076367 0.679226976132512 0.00334010259529566 0.225547723501436 0.181042727091316
ENSG00000078808 0.857497105197617 0.34138207177068 0.351587930011245 0.750452172251186 0.684212545568313 0.00832564722867776
ENSG00000176022 0.872622302057963 0.853326187159752 0.00948597346359942 0.0293189229099364 0.8489248566714 0.825933957521242
ENSG00000184163 0.799464737315355 0.875924383262435 0.95187329098327 0.331847589847696 0.895049506099817 0.851381356815672
ENSG00000160087 0.444757342774305 0.528509492582802 0.101389266472684 0.780921425800674 0.203405775528281 0.631352623632845
ENSG00000162572 0.638965784838609 0.246586513648833 0.881109030660867 0.793336921137174 0.941560922330061 0.843731066807717
ENSG00000131584 0.855915261422028 0.807735626929411 0.584091749146269 0.123820342743934 0.918485957541266 0.900122748334605
ENSG00000169972 0.670892700266552 0.42613121910433 0.262274052414999 0.832128351658512 0.343027051473441 0.652127399969048
ENSG00000127054 0.0547826915099867 0.224619708958132 0.00331892588409434 0.353137332111493 0.0256004152091687 0.22564821482622
ENSG00000224051 0.153399561928536 0.0431235290267715 0.0349690328994596 0.27397605868025 0.0397755875024219 0.124173917971699
ENSG00000169962 0.0232570601852458 0.799529252327323 0.333021155581787 0.826638480634151 0.430569973673514 0.621661777984262
ENSG00000107404 0.0382185535169959 0.0347523140305906 0.0338226173353389 0.122712966925067 3.05660964832144e-06 0.109424492927865
ENSG00000162576 0.639096177407239 0.777880445289723 0.76137340375561 0.312630196568968 0.24977915329643 0.0103679243898891
ENSG00000175756 0.070084510908866 0.77555402606177 0.490307187328723 0.800174485593735 0.312210620677347 0.868950077412485
ENSG00000221978 0.716037507448843 0.00280402793374574 0.321358587840954 0.69105615753212 0.83978495982265 0.342404119894873
ENSG00000224870 0.916662182980932 0.818280804226759 0.904464064225444 0.55498802456451 0.0689283412625046 0.428326569221617
ENSG00000242485 0.0519565973164814 0.82813498197695 0.312858122254231 0.815715517180039 0.497541332466001 0.905414713554023
ENSG00000235098 0.494335416785061 0.901328324529296 0.927250760030369 0.942830615289582 0.953312873631094 0.42522026890157
ENSG00000179403 0.90807785755713 0.716496580046058 0.645164682965356 0.636665962565928 0.653277958631694 0.0161931009812295
ENSG00000215915 0.483026654982761 0.801520346390634 0.667275317745833 0.891950631469184 0.196492440824335 0.910564081084027
ENSG00000160072 0.0238251750880452 0.793521857987269 0.925982913958963 0.783605610478276 0.899609771505968 0.961016407982122
ENSG00000197785 0.368192391212873 0.506124718102137 0.943954446393364 0.720399205991528 0.901751447275 0.953598068979193
ENSG00000160075 0.220340504671654 0.810909661311329 0.156331968865284 0.87496578887379 0.467594295422693 0.696846111214673
ENSG00000215014 0.139434964739483 0.347990497825884 0.949308917659846 0.601495062169653 0.966076984562174 0.937972023303373
ENSG00000228594 0.931484617932335 0.807976334927982 0.332314747108411 0.62197937222283 0.944211340308919 0.866021451715498
ENSG00000197530 0.000714975286849955 0.432776495338137 0.0301539374235084 0.455369892888084 0.0402456554606139 0.309488708851964
ENSG00000248333 0.43666023066486 0.832780361493905 0.971328064451349 0.619060454825083 0.956303326655573 0.922471265319816
ENSG00000189339 0.00180931856361844 0.0511516034948054 0.985334132788453 0.068888557374682 0.985015389911246 0.984910922468507
ENSG00000008128 0.749753302976238 0.821325491370491 0.808033446049487 0.158052069551769 0.111715461419186 0.00534290418300527
ENSG00000215790 0.290401592938999 0.589882155294776 0.912224189983436 0.784636790861465 0.877807325034365 0.95549042973498
ENSG00000008130 0.72268458909821 0.828770404785684 0.617314294987365 0.275479590926041 0.0517938828002543 0.395401573119887
ENSG00000078369 0.69265874724937 0.183106235005977 0.695297782782422 0.514765686692943 0.885810804571939 0.784865936634676
ENSG00000067606 0.977532884000536 0.929956632305313 0.977114663870892 0.880272115472513 0.566321225313429 0.913262620068573
ENSG00000162585 0.391671285507523 0.211687605178148 0.407648599154686 0.0573556753949722 0.714476668372163 0.619984781486795
ENSG00000157933 0.313669864086373 0.637252858473324 0.96840865760439 0.350571940503664 0.964909020173219 0.948365798059332
ENSG00000116151 0.725704000699878 0.774567779551591 0.0448549163316373 0.0728369518106881 0.761058680181439 0.799662518765472
ENSG00000157916 0.717052895649217 0.712911942301055 0.824985558612906 0.905468192024653 0.925108042575909 0.372002477619197
ENSG00000157911 0.0110206212287971 0.224293217914815 0.750607600019471 0.149393149130233 0.759852768808731 0.822871676751667
ENSG00000149527 0.940813920375567 0.585465406450836 0.830199909161484 0.91130397754343 0.755657698181926 0.62357690950309
ENSG00000157881 0.531846044565844 0.414175750250978 0.881161629878375 0.765836854022506 0.925826064330781 0.773886823112063
ENSG00000197921 0.874077781960402 0.918707516170204 0.983931086804829 0.488802036678577 0.972105127233907 0.948650113362557
ENSG00000157873 0.0653605257319617 0.882345836308837 0.934078069844507 0.842847091051671 0.915430732127362 0.55309580485295
ENSG00000157870 0.933212504021216 0.884723340844494 0.797689280697929 0.40560934339079 0.692957584999397 0.313557535956233
ENSG00000215912 0.919594607520729 0.309153223676011 0.941582483391634 0.941872735386385 0.110320895270215 0.957372604184336
ENSG00000162591 0.874559539944284 0.775205863510265 0.96715191213416 0.955469249536119 0.983986569445351 0.960517263628809
ENSG00000158109 0.493969687763562 0.651884844978875 0.496730725483162 0.832484900150741 0.774388298177051 0.0983373919919839
ENSG00000116213 0.941564896949096 0.83609922298189 0.783044545350418 0.699714667935409 0.741408814796339 0.0492213440596918
ENSG00000078900 0.983526660965411 0.972598355811175 0.671731802395322 0.652848977222057 0.983980404899294 0.975510842893596
ENSG00000235169 0.0262974867191975 0.148176853857803 0.637806379526748 0.0603303625814702 0.569100535279337 0.430812502206917
ENSG00000130764 0.690397528796454 0.636926207068402 0.929800615438419 0.00921852631808653 0.965217170434191 0.960033682972694
ENSG00000116198 0.26995320913598 0.0463390552515806 0.959852864630116 0.1380345444333 0.966877833648688 0.964063097253496
ENSG00000169598 0.816308431465652 0.83523006298774 0.955580862844345 0.0179176798598271 0.86907446320904 0.857669605652027
ENSG00000198912 0.900029658210139 0.780453321053222 0.940753544174798 0.469605689857892 0.652198187739055 0.817566330312619
ENSG00000131697 0.218282540681314 0.0349976349216192 0.92654257500313 0.330991376369988 0.94646491495584 0.911603535423783
ENSG00000069424 0.260112064329453 0.296272836199927 0.460813827864652 0.00307971248492499 0.136526059679388 0.108503291787784
ENSG00000116254 0.445567840157119 0.787797598160568 0.104523814737533 0.595260729488815 0.252713065581379 0.746008186569415
ENSG00000116251 0.00340027787475393 0.18362985424095 0.979187009189229 0.178478806934888 0.983064020223758 0.976427528497572
ENSG00000158286 0.913071900491519 0.0100148900675458 0.0114841038220295 0.906692095245228 0.931995297978202 0.0454164088581447
ENSG00000116237 0.0199196701021048 0.843044424154932 0.934561527035508 0.847623238218807 0.933273528873205 0.552113496094446
ENSG00000158292 0.900034640885718 0.824450167830248 0.527939345837353 0.365386904681802 0.787699504721092 0.55783822689311
ENSG00000097021 0.0213741306570061 0.861467186280912 0.0216516800216106 0.836686107072822 0.0810393393874356 0.882371157621887
ENSG00000069812 0.975543905649527 0.916707975930588 0.983549871233688 0.858062055737882 0.829600018059092 0.944545792134943
ENSG00000171680 0.0138872686256154 0.340815303481809 0.969569014233349 0.411545483927601 0.971156631266029 0.95607755483759
ENSG00000162408 0.384789737714278 0.678417116299627 0.438437744700001 0.320423734252349 0.0157835791673235 0.222306461842961
ENSG00000204859 0.602670417415454 0.62315452217058 0.897851388192779 0.000391159871542927 0.703992600844855 0.730010844442146
ENSG00000162413 0.895990866697426 0.491350769572605 0.901479565235306 0.808354675097751 0.0184674929243535 0.824650581167622
ENSG00000116273 0.513036995600713 0.252366050377919 0.969254550347718 0.137929684446345 0.978273319317013 0.972621311640791
ENSG00000041988 0.831002790477885 0.262159813077083 0.012809337109831 0.709226253453857 0.813421311762124 0.289863937017652
ENSG00000007923 0.355461352906651 0.4386095750995 0.945080457671358 0.0326732134180839 0.911057792417739 0.884746440414815
ENSG00000171735 0.858585682773149 0.795757049987644 0.501594563177073 0.00978681240116651 0.676427914030376 0.546883988570883
ENSG00000049245 0.944954045018654 0.841599637939665 0.774437257691833 0.662995970401119 0.968343629625512 0.93373880591321
ENSG00000049246 0.000760588587067597 0.049841165326454 0.854269014320197 0.0714860081000562 0.877811336907028 0.821600393854939
ENSG00000049247 0.0336750257771835 0.802418253932982 0.954089099700116 0.770859514518884 0.949356763198423 0.829499092229958
ENSG00000049249 0.738770530131696 0.818616487211915 0.785381944718086 0.938620337165489 0.926899191808091 0.00373754371059499
ENSG00000116288 0.132646354327528 0.551518921314993 0.110823335971373 0.731499841726761 0.00126175007883173 0.717881791547528
ENSG00000116285 0.841365823971103 0.283024843257877 0.897815445866203 0.919716313379992 0.966894757179722 0.883524561712277
ENSG00000142599 0.922347223552868 0.0210867460234057 0.984956206387292 0.930673585862622 0.966840494221007 0.98573550674073
ENSG00000074800 0.0978876499264452 0.379894474744438 0.812938512012953 0.155943434236308 0.84581142463264 0.887542069990331
ENSG00000142583 0.499299824254977 0.315767981697013 0.669421289568511 0.759439085447587 0.868946502250736 0.380575391156424
ENSG00000180758 0.647622406431649 0.332828990507995 0.923633040597525 0.791621047149423 0.819821637850418 0.937473313619933
ENSG00000049239 0.444056940847476 0.504525508402044 0.949883499802517 0.797617947572307 0.930982898346345 0.968113985173421
ENSG00000171621 0.862868344643204 0.707442049181326 0.841933263277238 0.425672624389366 0.00108564877268684 0.374880839062519
ENSG00000171612 0.77376199669833 0.54532109418392 0.858769571147206 0.893309707329911 0.369098608446036 0.921038624416081
ENSG00000188807 0.512052289909869 0.574130229493484 0.806992275472194 0.812948082429531 0.897704097975558 0.395815967679526
ENSG00000171608 0.168088354153963 0.585114893154891 0.562244094813893 0.737161875213171 0.3612082045637 0.834962363157227
