FIN_GBR FIN_TSI FIN_YRI GBR_TSI GBR_YRI TSI_YRI
ENSG00000221978 0.00817485558716211 0 0.000584429363628355 0.010133845106295 0.0348844739953028 0
ENSG00000224870 0.055953575784091 0.013804508293247 0.0454249514637854 0.00315074076708605 0 0
ENSG00000242485 0 0.0266940306835209 0.00269528245534125 0.0132567473753468 0.00118683694319169 0.0444699680548509
ENSG00000235098 0 0.0383313266341128 0.0825343043399349 0.0769835228927794 0.129037688710155 0.0116606778870129
ENSG00000179403 0.0501333110360022 0.0142072264829773 0.00835267158977149 0.00531710116957582 0.0297994044486204 0.00387572421277413
ENSG00000215915 0 0.0209638644046661 0.0082137911140228 0.0346460468341421 0.0001220235122091 0.0565101251470283
ENSG00000160072 0.00225739997728285 0.0240170037714211 0.0521708595216515 0.00747245690187393 0.0468242450157796 0.115359081405488
ENSG00000197785 0 0.0123361767356429 0.0719509516181173 0.00927819165902516 0.0531745110056074 0.105575076603874
ENSG00000160075 0 0.0158299055088467 0 0.0224652513867763 0 0.011988901618671
ENSG00000215014 0 0 0.0952434370982335 0.00649567515787812 0.128379401824317 0.0966030231023669
ENSG00000228594 0.0612477458839936 0.0150922351692372 0 0.00692442332275176 0.0988182552966441 0.0360764401072637
ENSG00000197530 0 0 0 0.00133336323623276 0 0.00214591747451822
ENSG00000248333 0 0.0210139718300071 0.158606945025801 0 0.105566724577675 0.0714002792045811
ENSG00000189339 0 0 0.273441168918006 0 0.26847008972587 0.267230542323932
ENSG00000008128 0.0140210656458269 0.0213233384757411 0.0182282034788224 0 0 0
ENSG00000215790 0 0 0.0574469750308038 0.0101465695809276 0.0274174783268937 0.0955899002156387
ENSG00000008130 0.0217823216243041 0.0304547771136094 0.0295851710944556 0 0 0
ENSG00000078369 0.00195558130024558 0 0.0178581740150682 0 0.0437927159396063 0.0294398553484995
ENSG00000067606 0.184475759334061 0.0672090667772557 0.21463292590814 0.0300319866579488 0.0427592393706784 0.083753033618614
ENSG00000162585 0 0 0 0 0.00540717685631868 0.00195263985168705
ENSG00000157933 0 0.000799185605104775 0.138354781855222 0.00129759685269703 0.129026187040491 0.087079377430332
ENSG00000116151 0.0080433020870144 0.0101563583436411 0 0 0.0111006302228134 0.0153492122984191
ENSG00000157916 0.00658088141383975 0.0036672341157054 0.01794497334015 0.0388698151839749 0.0514465339156837 0.00155263921408377
ENSG00000157911 0 0 0.0149211500138164 0 0.0179149715297403 0.0191937342954185
ENSG00000149527 0.0882657124504629 0.0125581102330272 0.0300267858144327 0.0474386350571814 0.00893783054211317 0.00504135140201674
ENSG00000157881 0.000675420673605329 0 0.0465138416273838 0.00747013815410971 0.061145285344232 0.0136086920055374
